           1  9.9999998E-03   2.200000       1.200000      -465.713215100000       -465.725561900000     
           2  9.9999998E-03   2.200000       1.400000      -465.852703400000       -465.865137100000     
           3  9.9999998E-03   2.200000       1.600000      -465.465678300000       -465.478552200000     
           4  9.9999998E-03   2.200000       1.800000      -464.023686500000       -464.036698200000     
           5  9.9999998E-03   2.200000       2.000000      -455.000000000000       -455.000000000000     
           6  9.9999998E-03   2.200000       2.200000      -455.000000000000       -455.000000000000     
           7  9.9999998E-03   2.200000       2.400000      -455.000000000000       -455.000000000000     
           8  9.9999998E-03   2.200000       2.600000      -455.000000000000       -455.000000000000     
           9  9.9999998E-03   2.200000       2.800000      -465.853894400000       -465.867026400000     
          10  9.9999998E-03   2.200000       3.000000      -466.468280100000       -466.481978400000     
          11  9.9999998E-03   2.200000       3.200000      -466.777326300000       -466.791298000000     
          12  9.9999998E-03   2.200000       3.400000      -466.961697700000       -466.975536800000     
          13  9.9999998E-03   2.200000       3.600000      -467.079972700000       -467.093747700000     
          14  9.9999998E-03   2.200000       3.800000      -467.157737000000       -467.171492700000     
          15  9.9999998E-03   2.200000       4.000000      -467.208903100000       -467.222673500000     
          16  9.9999998E-03   2.200000       4.200000      -467.242277700000       -467.256095700000     
          17  9.9999998E-03   2.200000       4.400000      -467.263862100000       -467.277765200000     
          18  9.9999998E-03   2.200000       4.600000      -467.277872200000       -467.291894100000     
          19  9.9999998E-03   2.200000       4.800000      -467.287133600000       -467.301285600000     
          20  9.9999998E-03   2.200000       5.000000      -467.292259200000       -467.308654400000     
          21  9.9999998E-03   2.200000       5.200000      -467.297506700000       -467.311821900000     
          22  9.9999998E-03   2.200000       5.400000      -467.300235200000       -467.314574700000     
          23  9.9999998E-03   2.200000       5.600000      -467.301973800000       -467.316318500000     
          24  9.9999998E-03   2.200000       5.800000      -467.303034400000       -467.317376100000     
          25  9.9999998E-03   2.200000       6.000000      -467.303638700000       -467.317974000000     
          26  9.9999998E-03   2.200000       6.500000      -467.304064600000       -467.318380000000     
          27  9.9999998E-03   2.200000       7.000000      -467.303874200000       -467.318164500000     
          28  9.9999998E-03   2.200000       7.500000      -467.303594300000       -467.317850000000     
          29  9.9999998E-03   2.200000       8.000000      -467.303375600000       -467.317584700000     
          30  9.9999998E-03   2.200000       8.500000      -467.303237400000       -467.317388300000     
          31  9.9999998E-03   2.200000       9.000000      -467.303161800000       -467.317245500000     
          32  9.9999998E-03   2.200000       9.500000      -467.303125000000       -467.317139200000     
          33  9.9999998E-03   2.200000       10.00000      -467.303108200000       -467.317059300000     
          34  9.9999998E-03   2.200000       10.50000      -467.303099000000       -467.317001800000     
          35  9.9999998E-03   2.200000       11.00000      -467.303091200000       -467.316962900000     
          36  9.9999998E-03   2.200000       11.50000      -467.303083700000       -467.316937400000     
          37  9.9999998E-03   2.200000       12.00000      -467.303077400000       -467.316920700000     
          38  9.9999998E-03   2.400000       1.200000      -466.095941100000       -466.108021500000     
          39  9.9999998E-03   2.400000       1.400000      -466.382275100000       -466.394383500000     
          40  9.9999998E-03   2.400000       1.600000      -466.302610400000       -466.314854600000     
          41  9.9999998E-03   2.400000       1.800000      -465.801567200000       -465.813999600000     
          42  9.9999998E-03   2.400000       2.000000      -464.294326400000       -464.307298500000     
          43  9.9999998E-03   2.400000       2.200000      -455.000000000000       -455.000000000000     
          44  9.9999998E-03   2.400000       2.400000      -455.000000000000       -455.000000000000     
          45  9.9999998E-03   2.400000       2.600000      -455.000000000000       -455.000000000000     
          46  9.9999998E-03   2.400000       2.800000      -455.000000000000       -455.000000000000     
          47  9.9999998E-03   2.400000       3.000000      -466.016002800000       -466.028953200000     
          48  9.9999998E-03   2.400000       3.200000      -466.625791700000       -466.639146900000     
          49  9.9999998E-03   2.400000       3.400000      -466.932684100000       -466.946934200000     
          50  9.9999998E-03   2.400000       3.600000      -467.117572600000       -467.131720600000     
          51  9.9999998E-03   2.400000       3.800000      -467.237536500000       -467.251659200000     
          52  9.9999998E-03   2.400000       4.000000      -467.317614800000       -467.331764600000     
          53  9.9999998E-03   2.400000       4.200000      -467.371809700000       -467.387101300000     
          54  9.9999998E-03   2.400000       4.400000      -467.407913100000       -467.422204000000     
          55  9.9999998E-03   2.400000       4.600000      -467.432580700000       -467.446953700000     
          56  9.9999998E-03   2.400000       4.800000      -467.448830900000       -467.465077200000     
          57  9.9999998E-03   2.400000       5.000000      -467.460817300000       -467.475305100000     
          58  9.9999998E-03   2.400000       5.200000      -467.468583900000       -467.483097100000     
          59  9.9999998E-03   2.400000       5.400000      -467.473800700000       -467.488324700000     
          60  9.9999998E-03   2.400000       5.600000      -467.477567100000       -467.493062900000     
          61  9.9999998E-03   2.400000       5.800000      -467.479480300000       -467.494004800000     
          62  9.9999998E-03   2.400000       6.000000      -467.480880000000       -467.495401000000     
          63  9.9999998E-03   2.400000       6.500000      -467.482328500000       -467.496837700000     
          64  9.9999998E-03   2.400000       7.000000      -467.482488400000       -467.496981000000     
          65  9.9999998E-03   2.400000       7.500000      -467.482303500000       -467.496771500000     
          66  9.9999998E-03   2.400000       8.000000      -467.482093900000       -467.496526500000     
          67  9.9999998E-03   2.400000       8.500000      -467.481940800000       -467.496326400000     
          68  9.9999998E-03   2.400000       9.000000      -467.481849500000       -467.496177900000     
          69  9.9999998E-03   2.400000       9.500000      -467.481803700000       -467.496068500000     
          70  9.9999998E-03   2.400000       10.00000      -467.481784600000       -467.495986000000     
          71  9.9999998E-03   2.400000       10.50000      -467.481777800000       -467.495923400000     
